Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Be-Se-Mg-O,7.097000,7.097000,22.363000,1.000000,75.140000,38.840000,55.060000,55.060000,18.150000,18.150000,56.990000,56.990000,0.520000,0.520000
Be-Se-Mg-S,7.724000,7.724000,18.877000,1.000000,15.700000,-4.270000,14.540000,14.540000,9.980000,9.980000,5.710000,5.710000,-0.270000,-0.270000
Be-Se-Mg-Te,7.550000,7.550000,19.761000,1.000000,29.220000,71.280000,-144.650000,-144.650000,-21.030000,-21.030000,50.250000,50.250000,2.440000,2.440000
Be-Se-Sr-O,7.767000,7.767000,18.669000,1.000000,13.010000,33.940000,-75.550000,-75.550000,-10.470000,-10.470000,23.470000,23.470000,2.610000,2.610000
Be-Se-Sr-S,7.914000,7.914000,17.982000,1.000000,53.890000,22.850000,44.190000,44.190000,15.520000,15.520000,38.370000,38.370000,0.420000,0.420000
Be-Se-Sr-Te,7.791000,7.791000,18.555000,1.000000,-6.180000,-16.180000,36.190000,36.190000,5.000000,5.000000,-11.180000,-11.180000,2.620000,2.620000
Be-Se-Zn-O,7.085000,7.085000,22.436000,1.000000,99.000000,31.130000,89.210000,89.210000,33.930000,33.930000,65.070000,65.070000,0.310000,0.310000
Be-Se-Zn-S,7.523000,7.523000,19.899000,1.000000,27.700000,4.170000,27.080000,27.080000,11.770000,11.770000,15.940000,15.940000,0.150000,0.150000
Be-Se-Zn-Te,7.789000,7.789000,18.565000,1.000000,29.720000,17.140000,19.830000,19.830000,6.290000,6.290000,23.430000,23.430000,0.580000,0.580000
Be-S-Mg-O,6.907000,6.907000,23.610000,1.000000,89.200000,44.210000,67.290000,67.290000,22.500000,22.500000,66.710000,66.710000,0.500000,0.500000
Be-S-Mg-Se,7.478000,7.478000,20.143000,1.000000,-13.770000,20.670000,17.250000,17.250000,-17.220000,-17.220000,3.450000,3.450000,-1.500000,-1.500000
Be-S-Mg-Te,6.843000,6.843000,24.052000,1.000000,-12.150000,-8.710000,-5.910000,-5.910000,-1.720000,-1.720000,-10.430000,-10.430000,0.720000,0.720000
Be-S-Sr-O,7.622000,7.622000,19.386000,1.000000,0.120000,7.020000,-398.970000,-398.970000,-3.450000,-3.450000,3.570000,3.570000,56.860000,56.860000
Be-S-Sr-Se,7.482000,7.482000,20.121000,1.000000,-47.700000,-16.390000,-42.070000,-42.070000,-15.660000,-15.660000,-32.040000,-32.040000,0.340000,0.340000
Be-S-Sr-Te,7.120000,7.120000,22.218000,1.000000,14.550000,10.490000,6.990000,6.990000,2.030000,2.030000,12.520000,12.520000,0.720000,0.720000
Be-S-Zn-O,6.915000,6.915000,23.555000,1.000000,138.890000,80.580000,92.140000,92.140000,29.160000,29.160000,109.730000,109.730000,0.580000,0.580000
Be-S-Zn-Se,7.410000,7.410000,20.510000,1.000000,39.860000,13.380000,35.360000,35.360000,13.240000,13.240000,26.620000,26.620000,0.340000,0.340000
Be-S-Zn-Te,7.052000,7.052000,22.649000,1.000000,40.370000,30.490000,17.360000,17.360000,4.940000,4.940000,35.430000,35.430000,0.760000,0.760000
Be-Te-Ba-O,8.270000,8.270000,16.467000,1.000000,7.920000,14.480000,-18.550000,-18.550000,-3.280000,-3.280000,11.200000,11.200000,1.830000,1.830000
Be-Te-Ba-S,8.554000,8.554000,15.393000,1.000000,56.060000,-24.810000,45.080000,45.080000,40.440000,40.440000,15.630000,15.630000,-0.440000,-0.440000
Be-Te-Ba-Se,8.544000,8.544000,15.430000,1.000000,2.810000,-4.430000,-4.190000,-4.190000,3.620000,3.620000,-0.810000,-0.810000,-1.580000,-1.580000
Be-Te-Cd-O,7.654000,7.654000,19.226000,1.000000,21.980000,0.490000,21.970000,21.970000,10.740000,10.740000,11.230000,11.230000,0.020000,0.020000
Be-Te-Cd-S,8.194000,8.194000,16.776000,1.000000,11.570000,-4.190000,10.050000,10.050000,7.880000,7.880000,3.690000,3.690000,-0.360000,-0.360000
Be-Te-Cd-Se,8.309000,8.309000,16.313000,1.000000,-1.730000,1.730000,-0.010000,-0.010000,-1.730000,-1.730000,-0.000000,-0.000000,-1.000000,-1.000000
Be-Te-Mg-O,7.326000,7.326000,20.988000,1.000000,-68.930000,-72.820000,7.990000,7.990000,1.940000,1.940000,-70.880000,-70.880000,1.060000,1.060000
