Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Hf-Mo-Te-O,6.575000,6.575000,19.515000,1.000000,-122.440000,-33.730000,-113.150000,-113.150000,-44.350000,-44.350000,-78.080000,-78.080000,0.280000,0.280000
Hf-Mo-Te-S,6.969000,6.969000,17.372000,1.000000,19.380000,49.090000,-104.920000,-104.920000,-14.850000,-14.850000,34.240000,34.240000,2.530000,2.530000
Hf-Mo-Te-Se,7.111000,7.111000,16.685000,1.000000,19.020000,53.450000,-131.190000,-131.190000,-17.220000,-17.220000,36.230000,36.230000,2.810000,2.810000
Hf-Pb-O-S,6.871000,6.871000,17.870000,1.000000,51.250000,-31.650000,31.710000,31.710000,41.450000,41.450000,9.800000,9.800000,-0.620000,-0.620000
Hf-Pb-O-Se,6.698000,6.698000,18.803000,1.000000,154.600000,59.070000,132.030000,132.030000,47.760000,47.760000,106.840000,106.840000,0.380000,0.380000
Hf-Pb-O-Te,6.485000,6.485000,20.061000,1.000000,205.760000,29.570000,201.510000,201.510000,88.100000,88.100000,117.660000,117.660000,0.140000,0.140000
Hf-Pb-Se-O,7.069000,7.069000,16.884000,1.000000,138.460000,37.190000,128.470000,128.470000,50.640000,50.640000,87.820000,87.820000,0.270000,0.270000
Hf-Pb-Se-S,7.546000,7.546000,14.818000,1.000000,107.570000,34.420000,96.560000,96.560000,36.570000,36.570000,71.000000,71.000000,0.320000,0.320000
Hf-Pb-Se-Te,7.575000,7.575000,14.704000,1.000000,45.390000,-3.880000,45.060000,45.060000,24.630000,24.630000,20.760000,20.760000,-0.090000,-0.090000
Hf-Pb-S-O,6.981000,6.981000,17.312000,1.000000,168.870000,48.190000,155.120000,155.120000,60.340000,60.340000,108.530000,108.530000,0.290000,0.290000
Hf-Pb-S-Se,7.517000,7.517000,14.932000,1.000000,83.990000,36.260000,68.330000,68.330000,23.870000,23.870000,60.120000,60.120000,0.430000,0.430000
Hf-Pb-S-Te,7.430000,7.430000,15.284000,1.000000,39.090000,11.290000,35.830000,35.830000,13.900000,13.900000,25.190000,25.190000,0.290000,0.290000
Hf-Pb-Te-O,7.101000,7.101000,16.733000,1.000000,39.280000,71.960000,-92.520000,-92.520000,-16.340000,-16.340000,55.620000,55.620000,1.830000,1.830000
Hf-Pb-Te-S,7.797000,7.797000,13.876000,1.000000,45.300000,12.960000,41.590000,41.590000,16.170000,16.170000,29.130000,29.130000,0.290000,0.290000
Hf-Pb-Te-Se,7.992000,7.992000,13.209000,1.000000,40.080000,16.330000,33.420000,33.420000,11.870000,11.870000,28.210000,28.210000,0.410000,0.410000
Hf-Si-O-S,6.492000,6.492000,20.018000,1.000000,282.070000,58.520000,269.930000,269.930000,111.780000,111.780000,170.290000,170.290000,0.210000,0.210000
Hf-Si-O-Se,6.669000,6.669000,18.967000,1.000000,214.770000,65.740000,194.640000,194.640000,74.510000,74.510000,140.250000,140.250000,0.310000,0.310000
Hf-Si-O-Te,6.860000,6.860000,17.926000,1.000000,36.000000,-36.620000,-1.260000,-1.260000,36.310000,36.310000,-0.310000,-0.310000,-1.020000,-1.020000
Hf-Si-Se-O,6.103000,6.103000,22.649000,1.000000,-135.800000,441.240000,1297.910000,1297.910000,-288.520000,-288.520000,152.720000,152.720000,-3.250000,-3.250000
Hf-Si-Se-S,6.962000,6.962000,17.406000,1.000000,123.910000,38.580000,111.900000,111.900000,42.670000,42.670000,81.250000,81.250000,0.310000,0.310000
Hf-Si-Se-Te,7.488000,7.488000,15.046000,1.000000,84.370000,53.540000,50.400000,50.400000,15.420000,15.420000,68.960000,68.960000,0.630000,0.630000
Hf-Si-S-O,6.156000,6.156000,22.265000,1.000000,-27.080000,281.200000,2892.710000,2892.710000,-154.140000,-154.140000,127.060000,127.060000,-10.380000,-10.380000
Hf-Si-S-Se,7.082000,7.082000,16.821000,1.000000,159.580000,53.590000,141.590000,141.590000,53.000000,53.000000,106.590000,106.590000,0.340000,0.340000
Hf-Si-S-Te,7.333000,7.333000,15.689000,1.000000,103.970000,59.400000,70.030000,70.030000,22.280000,22.280000,81.680000,81.680000,0.570000,0.570000
Hf-Si-Te-O,6.090000,6.090000,22.746000,1.000000,-445.550000,-114.910000,-415.910000,-415.910000,-165.320000,-165.320000,-280.230000,-280.230000,0.260000,0.260000
Hf-Si-Te-S,7.013000,7.013000,17.152000,1.000000,14.600000,49.970000,-156.430000,-156.430000,-17.690000,-17.690000,32.290000,32.290000,3.420000,3.420000
Hf-Si-Te-Se,7.279000,7.279000,15.922000,1.000000,74.670000,75.990000,-2.670000,-2.670000,-0.660000,-0.660000,75.330000,75.330000,1.020000,1.020000
Hf-Sn-O-S,6.796000,6.796000,18.266000,1.000000,227.230000,61.080000,210.810000,210.810000,83.070000,83.070000,144.160000,144.160000,0.270000,0.270000
Hf-Sn-O-Se,6.920000,6.920000,17.619000,1.000000,-119.500000,-186.950000,172.980000,172.980000,33.730000,33.730000,-153.230000,-153.230000,1.560000,1.560000
Hf-Sn-O-Te,6.442000,6.442000,20.332000,1.000000,207.950000,41.610000,199.620000,199.620000,83.170000,83.170000,124.780000,124.780000,0.200000,0.200000
Hf-Sn-Se-O,6.859000,6.859000,17.931000,1.000000,137.400000,47.390000,121.050000,121.050000,45.000000,45.000000,92.400000,92.400000,0.340000,0.340000
